1,1,cubierto,blanco,0,1,TABANOS
2,4,carbonato_x,blanco,1,5,TABANOS
3,3,arena_g,gris,5,8,LOTENA
4,0.4,congl_g,castano,8,8.4,LA MANGA
5,0.2,congl_g,gris,8.4,8.6,LA MANGA
6,0.6,pelitas,castano,8.6,9.2,LA MANGA
7,0.4,congl_g,gris,9.2,9.6,LA MANGA
8,0.2,pelitas,castano,9.6,9.8,LA MANGA
9,0.4,congl_g,gris,9.8,10.2,LA MANGA
10,0.4,pelitas,castano,10.2,10.6,LA MANGA
11,0.4,congl_g,gris,10.6,11,LA MANGA
12,0.4,pelitas,castano,11,11.4,LA MANGA
13,0.8,congl_g,gris,11.4,12.2,LA MANGA
14,0.2,caliza_m,gris,12.2,12.4,LA MANGA
15,2.2,cubierto,blanco,12.4,14.6,LA MANGA
16,0.6,caliza_m,gris,14.6,15.2,LA MANGA
17,0.6,pelitas,castano,15.2,15.8,LA MANGA
